knn_pm25_91B8_K07,2018-07-09T03:30:00,2018-07-24T02:15:00,4016
knn_pm25_91B8_K08,2018-07-09T03:30:00,2018-07-24T02:15:00,3674
knn_pm25_91B8_K09,2018-07-09T03:30:00,2018-07-24T02:15:00,2856
knn_pm25_91B8_K10,2018-08-13T03:45:00,2018-08-19T07:45:00,2196
knn_pm25_A9BE_K01,2018-03-22T12:45:00,2018-07-09T03:00:00,10426
knn_pm25_A9BE_K02,2018-04-06T05:15:00,2018-07-09T03:00:00,9016
knn_pm25_A9BE_K03,2018-08-13T03:45:00,2018-09-25T14:00:00,7310
knn_pm25_A9BE_K04,2018-07-31T17:30:00,2018-08-11T18:15:00,5251
knn_pm25_A9BE_K05,2018-08-13T03:45:00,2018-08-28T08:45:00,6064
knn_pm25_A9BE_K06,2018-08-13T03:45:00,2018-08-24T13:15:00,4779
knn_pm25_A9BE_K07,2018-07-09T03:30:00,2018-07-24T02:15:00,3774
knn_pm25_A9BE_K08,2018-08-08T20:15:00,2018-08-11T18:15:00,3187
knn_pm25_A9BE_K09,2018-07-09T03:30:00,2018-07-22T09:00:00,2900
knn_pm25_A9BE_K10,2018-07-09T03:30:00,2018-07-19T22:15:00,1865
knn_pm25_BB4A_K01,2018-03-22T12:45:00,2018-07-09T03:00:00,10426
knn_pm25_BB4A_K02,2018-04-06T05:15:00,2018-07-09T03:00:00,9016
knn_pm25_BB4A_K03,2018-08-13T03:45:00,2018-09-25T14:00:00,7398
knn_pm25_BB4A_K04,2018-08-13T03:45:00,2018-09-25T14:00:00,7685
knn_pm25_BB4A_K05,2018-07-31T17:30:00,2018-08-11T18:15:00,5248
knn_pm25_BB4A_K06,2018-08-05T13:15:00,2018-08-11T18:15:00,4603
knn_pm25_BB4A_K07,2018-07-09T03:30:00,2018-07-24T02:15:00,4116
knn_pm25_BB4A_K08,2018-07-09T03:30:00,2018-07-24T02:15:00,3762
knn_pm25_BB4A_K09,2018-07-09T03:30:00,2018-07-24T02:15:00,3240
knn_pm25_BB4A_K10,2018-08-09T05:00:00,2018-08-11T18:15:00,1675
knn_pm25_BC46_K01,2018-03-22T12:45:00,2018-07-09T03:00:00,10426
knn_pm25_BC46_K02,2018-04-06T05:15:00,2018-07-09T03:00:00,9016
knn_pm25_BC46_K03,2018-08-13T03:45:00,2018-09-25T14:00:00,7776
knn_pm25_BC46_K04,2018-07-31T08:00:00,2018-08-11T18:15:00,5524
knn_pm25_BC46_K05,2018-07-31T17:30:00,2018-08-11T18:15:00,5251
knn_pm25_BC46_K06,2018-08-13T03:45:00,2018-08-28T08:45:00,3895
knn_pm25_BC46_K07,2018-07-09T03:30:00,2018-07-24T02:15:00,3850
knn_pm25_BC46_K08,2018-07-09T03:30:00,2018-07-24T02:15:00,2867
knn_pm25_BC46_K09,2018-07-09T03:30:00,2018-07-24T02:15:00,2531
knn_pm25_BC46_K10,2018-07-09T03:30:00,2018-07-22T09:00:00,2242
knn_pm25_BFDC_K01,2018-03-22T12:45:00,2018-07-09T03:00:00,10426
knn_pm25_BFDC_K02,2018-04-08T08:15:00,2018-07-09T03:00:00,8814
knn_pm25_BFDC_K03,2018-08-13T03:45:00,2018-09-25T14:00:00,7398
knn_pm25_BFDC_K04,2018-08-13T03:45:00,2018-09-25T14:00:00,7685
knn_pm25_BFDC_K05,2018-07-31T17:30:00,2018-08-11T18:15:00,5248
knn_pm25_BFDC_K06,2018-08-05T13:15:00,2018-08-11T18:15:00,4603
knn_pm25_BFDC_K07,2018-07-09T03:30:00,2018-07-24T02:15:00,4116
knn_pm25_BFDC_K08,2018-07-09T03:30:00,2018-07-24T02:15:00,3762
knn_pm25_BFDC_K09,2018-07-09T03:30:00,2018-07-24T02:15:00,1939
knn_pm25_BFDC_K10,2018-08-09T05:45:00,2018-08-10T18:45:00,1578
knn_pm25_C0A7_K01,2018-03-22T12:45:00,2018-07-09T03:00:00,10426
knn_pm25_C0A7_K02,2018-08-13T03:45:00,2018-09-25T14:00:00,7398
knn_pm25_C0A7_K03,2018-08-13T03:45:00,2018-09-25T14:00:00,7684
knn_pm25_C0A7_K04,2018-08-13T03:45:00,2018-09-25T14:00:00,8119
knn_pm25_C0A7_K05,2018-08-13T03:45:00,2018-09-06T20:30:00,6972
knn_pm25_C0A7_K06,2018-09-21T03:00:00,2018-09-21T12:45:00,4126
knn_pm25_C0A7_K07,2018-07-09T03:30:00,2018-07-24T02:15:00,3763
knn_pm25_C0A7_K08,2018-07-09T03:30:00,2018-07-24T02:15:00,2868
knn_pm25_C0A7_K09,2018-08-08T20:15:00,2018-08-11T18:15:00,1759
knn_pm25_C0A7_K10,2018-07-09T03:30:00,2018-07-19T22:15:00,1865
knn_pm25_CBC7_K01,2018-04-06T05:15:00,2018-07-09T03:00:00,9016
knn_pm25_CBC7_K02,2018-04-06T09:45:00,2018-07-09T03:00:00,8999
knn_pm25_CBC7_K03,2018-08-13T03:45:00,2018-09-25T14:00:00,7398
knn_pm25_CBC7_K04,2018-09-07T12:30:00,2018-09-25T14:00:00,7680
knn_pm25_CBC7_K05,2018-08-05T13:15:00,2018-08-11T18:15:00,5232
knn_pm25_CBC7_K06,2018-07-09T03:30:00,2018-07-24T03:15:00,4599
knn_pm25_CBC7_K07,2018-07-09T03:30:00,2018-07-24T02:15:00,3866
knn_pm25_CBC7_K08,2018-07-09T03:30:00,2018-07-24T02:15:00,2951
knn_pm25_CBC7_K09,2018-08-09T05:00:00,2018-08-11T18:15:00,1675
knn_pm25_CBC7_K10,2018-07-09T03:30:00,2018-07-19T22:15:00,1865
knn_pm25_D804_K01,2018-03-22T12:45:00,2018-07-09T03:00:00,10426
knn_pm25_D804_K02,2018-04-08T08:15:00,2018-07-09T03:00:00,8814
knn_pm25_D804_K03,2018-08-13T03:45:00,2018-09-25T14:00:00,7398
knn_pm25_D804_K04,2018-07-31T08:00:00,2018-08-11T18:15:00,5524
knn_pm25_D804_K05,2018-07-31T17:30:00,2018-08-11T18:15:00,5251
knn_pm25_D804_K06,2018-08-05T13:15:00,2018-08-11T18:15:00,4600
knn_pm25_D804_K07,2018-07-09T03:30:00,2018-07-24T02:15:00,4013
knn_pm25_D804_K08,2018-07-09T03:30:00,2018-07-24T02:15:00,3296
knn_pm25_D804_K09,2018-08-13T03:45:00,2018-08-19T07:45:00,3331
knn_pm25_D804_K10,2018-07-09T03:30:00,2018-07-19T22:15:00,2261
knn_pm25_DF07_K01,2018-03-22T12:45:00,2018-07-09T03:00:00,10426
knn_pm25_DF07_K02,2018-04-06T05:15:00,2018-07-09T03:00:00,9016
knn_pm25_DF07_K03,2018-08-13T03:45:00,2018-09-25T14:00:00,7398
knn_pm25_DF07_K04,2018-08-13T03:45:00,2018-09-25T14:00:00,7685
