Monitor ID,113E,1FD7,20CA,2E9C,3ACF,498F,4BE7,56C3,5D7A,603A,72CA,8E2A,91B8,97D7,A838,A9BE,AnandVihar_DPCC,AshokVihar_DPCC,AyaNagar_IMD,BB4A,BC46,BFDC,BurariCrossing_IMD,C0A7,CBC7,CRRIMathuraRoad_IMD,D385,D804,DF07,DKSSR_DPCC,DTU_CPCB,DwarkaSector8_DPCC,E1F8,E47A,E486,E8E4,EAC8,EastArjunNagar_CPCB,IGIAirport_IMD,IHBAS_CPCB,ITO_CPCB,JNS_DPCC,Jahangirpuri_DPCC,LodhiRoad_IMD,MDCNS_DPCC,MandirMarg_DPCC,Mundaka_DPCC,NSIT_CPCB,NehruNagar_DPCC,OkhlaPhase2_DPCC,Patparganj_DPCC,PunjabiBagh_DPCC,Pusa_DPCC,Pusa_IMD,RKPuram_DPCC,Rohini_DPCC,Shadipur_CPCB,Sirifort_CPCB,SoniaVihar_DPCC,SriAurobindoMarg_DPCC,VivekVihar_DPCC,Wazirpur_DPCC
PunjabiBagh_DPCC,18170,13430,11409,17787,16755,16501,17768,16574,21431,9709,30193,22176,19690,13690,10815,15665,18335,5485,22632,14580,16074,18805,8926,29951,9664,19487,14255,14911,16199,23443,8642,12798,15017,16373,28085,13718,15877,15280,12397,16781,12492,14459,7577,13103,12540,8017,5451,12022,16582,20981,16255,0,4093,4093,13441,6572,2965,16021,12262,16840,18009,4412
Pusa_DPCC,14303,9355,7356,13695,12672,12633,13714,12531,17978,5829,26272,18497,15622,9638,8080,11706,16618,7081,19059,10500,13947,14727,10938,26843,5731,15848,10228,10891,12384,19469,12705,10523,11247,12307,24884,9668,11785,13769,8956,15954,10127,10800,10598,9535,9482,5370,8445,11625,12931,17178,13894,4093,0,0,9354,10611,1315,12009,12786,12748,16914,6925
Pusa_IMD,14303,9355,7356,13695,12672,12633,13714,12531,17978,5829,26271,18497,15622,9638,8080,11706,16618,7080,19059,10500,13947,14727,10938,26843,5731,15848,10228,10891,12383,19469,12705,10523,11247,12307,24884,9667,11785,13769,8956,15954,10127,10800,10598,9535,9481,5370,8445,11625,12931,17178,13894,4093,0,0,9354,10611,1315,12009,12786,12748,16914,6925
RKPuram_DPCC,6107,440,2824,4475,3323,4738,4479,3408,12318,4383,17348,11738,6674,1020,8035,3368,15659,14652,12731,1175,12599,5384,18051,21607,4229,8582,1677,2194,4896,10466,21984,11288,4485,3038,18376,1056,2637,14088,6745,17278,9742,4960,18860,5062,7281,8226,17250,15935,6242,9002,11880,13441,9354,9354,0,19871,10517,3174,17428,3551,17425,15277
Rohini_DPCC,24141,19822,17962,24277,23155,22498,24082,22870,27768,15878,36156,28642,26233,20026,15785,21816,21390,7304,29036,20983,19847,25184,7973,35968,15891,25091,20537,21175,22124,29550,2118,18505,20903,22725,32868,20051,22370,18327,18815,18728,16886,20217,4954,18798,17697,13279,6787,16128,22270,26812,20315,6572,10611,10611,19871,0,9373,22259,12891,23331,20220,5741
Shadipur_CPCB,15223,10490,8629,14905,13821,13553,14813,13615,19274,6751,27237,19811,16873,10735,8322,12702,16503,5912,20367,11646,13976,15865,9761,28100,6700,16614,11293,11948,13264,20479,11479,11571,12093,13424,25423,10763,12997,13560,10240,15525,10223,11570,9299,10243,9901,5514,7832,12166,13701,18053,14019,2965,1315,1315,10517,9373,0,13057,11938,13958,16580,5641
Sirifort_CPCB,2988,2930,5999,3731,1940,1967,1949,809,13582,6382,14335,12479,6029,2461,8485,846,14492,16411,13630,2164,11589,3256,19474,22583,6377,5641,1792,1123,2403,7479,24377,14278,2827,1227,15377,2424,3109,13518,9680,16784,9585,3743,20694,4721,7074,9642,20178,19083,3898,5835,10707,16021,12009,12009,3174,22259,13057,0,18043,3292,16641,17275
SoniaVihar_DPCC,18326,17109,17369,21463,19758,17115,19940,18847,29169,13334,28951,29008,23825,16902,9577,17262,9597,6836,29879,18058,9412,21275,5011,38447,13604,17812,16968,17344,16542,23537,14197,23248,15473,19075,22707,16900,19926,7051,20817,6118,8735,14514,8091,13331,11057,9477,17138,24002,15807,20032,10298,12262,12786,12786,17428,12891,11938,18043,0,20687,7695,8297
SriAurobindoMarg_DPCC,5666,3733,5573,947,1425,5188,2644,2653,10317,7918,14884,9192,3167,3810,11140,4107,17761,18199,10338,2653,14824,2617,21562,19293,7777,8455,3736,3485,5679,8163,25437,12380,6054,2075,17835,3807,962,16656,7873,19913,12543,6905,22411,7625,10008,11695,20302,17665,7162,7938,13965,16840,12748,12748,3551,23331,13958,3292,20687,0,19847,18825
VivekVihar_DPCC,15641,17006,18568,20372,18577,15047,18196,17409,29736,14574,23981,28973,22644,16569,9983,15797,2828,13304,30050,17574,5080,19460,12619,38988,14909,14031,16303,16392,14461,19880,21713,26314,13817,17856,16043,16550,19365,3415,22794,1584,7855,12943,15641,12393,10161,11852,23369,28518,13195,16268,6044,18009,16914,16914,17425,20220,16580,16641,7695,19847,0,14954
Wazirpur_DPCC,18854,15144,13884,19752,18421,17254,19177,17956,24902,10992,30774,25368,21894,15239,10155,16734,15845,1658,25965,16298,14143,20373,4515,33734,11082,19570,15652,16247,16829,24328,7685,16951,15599,17905,27133,15257,17889,12753,15878,13554,11152,14837,3695,13407,12090,7838,8846,16428,16819,21399,14584,4412,6925,6925,15277,5741,5641,17275,8297,18825,14954,0
